4.240540142342345007e+02,3.500000000000000000e+00
2.409958656954994467e+02,3.250000000000000000e+00
1.595927182956180843e+02,3.000000000000000000e+00
1.110444309098546114e+02,2.750000000000000000e+00
7.936380071537497827e+01,2.500000000000000000e+00
7.847432405947814971e+01,2.000000000000000000e+00
7.955194625275611031e+01,1.500000000000000000e+00
2.011692356065074421e+02,1.250000000000000000e+00
5.800000000000000000e+02,1.108358928395652310e+00
6.880000000000000000e+02,1.100806279036950164e+00
7.150000000000000000e+02,1.100416908866310939e+00
7.420000000000000000e+02,1.100416859360624944e+00
8.500000000000000000e+02,1.100416859365282107e+00
8.558525781225199580e+02,1.250000000000000000e+00
8.536636148943474609e+02,1.500000000000000000e+00
8.500000000000000000e+02,1.714828054522568701e+00
8.492711247276433824e+02,1.750000000000000000e+00
8.431453374804599434e+02,2.000000000000000000e+00
8.353948131386556497e+02,2.250000000000000000e+00
8.260690056245498454e+02,2.500000000000000000e+00
8.230000000000000000e+02,2.574408234822718189e+00
8.152376224028583920e+02,2.750000000000000000e+00
8.029783774540354671e+02,3.000000000000000000e+00
7.960000000000000000e+02,3.131359111080091129e+00
7.893946205039051165e+02,3.250000000000000000e+00
7.745740844180585327e+02,3.500000000000000000e+00
7.690000000000000000e+02,3.578813733243151329e+00
7.420000000000000000e+02,3.578813734506789412e+00
6.880000000000000000e+02,3.578813734506337774e+00
6.610000000000000000e+02,3.578813734502351185e+00
6.340000000000000000e+02,3.577432281460580565e+00
6.070000000000000000e+02,3.572429678576338752e+00
5.800000000000000000e+02,3.567417082337577483e+00
