1.159620931837590206e+03,4.503004416679316613e+00
9.628806096698695001e+02,4.551031143284092195e+00
9.239443568123485875e+02,4.550606829662495301e+00
8.848333807299927685e+02,4.544881653880219474e+00
8.466365538464748397e+02,4.539279067504073062e+00
8.086865076917482611e+02,4.530368372071823302e+00
7.706680338594449040e+02,4.516131487833564329e+00
7.335735544935794223e+02,4.502193484199575657e+00
6.973467385388781850e+02,4.488536132708201620e+00
6.606640868263604034e+02,4.466550593055198526e+00
6.245108686604560262e+02,4.442236265611138712e+00
5.892732394291105038e+02,4.418423633997537792e+00
5.538113451949611772e+02,4.386487204011582541e+00
5.186659264846587121e+02,4.349844673134226625e+00
4.845164282109174678e+02,4.314012836408245732e+00
4.496700144714761791e+02,4.263450299020033363e+00
4.372400758173167219e+02,4.244816455911752051e+00
4.158136455913323744e+02,4.212572045131294018e+00
3.989102036796783750e+02,4.185417170967656197e+00
3.819374026266123110e+02,4.150726141890707765e+00
3.684557738190686109e+02,4.123046228724642326e+00
3.485769021428640713e+02,4.082031687255623709e+00
3.364488432772482156e+02,4.056887573624017307e+00
3.153470625175374948e+02,4.000326380735187648e+00
3.111617056718632170e+02,3.988892671767541032e+00
2.852411257737353480e+02,3.917698917537816961e+00
2.828693717108367878e+02,3.911151379516866644e+00
2.632735383961155549e+02,3.844900457363569668e+00
2.501840563616875670e+02,3.798242810128196645e+00
2.422308815797004229e+02,3.769761637795375098e+00
2.229794581683060244e+02,3.692799922786854872e+00
2.183054943573756645e+02,3.671523806529692902e+00
2.058156490116217299e+02,3.614410758859897932e+00
1.888087186606347814e+02,3.533702956462022815e+00
1.870820472577818236e+02,3.523784804783615332e+00
1.747211663736304956e+02,3.452465016658033736e+00
1.603454054282706807e+02,3.368805622244224196e+00
1.564403563848278793e+02,3.345596026791340272e+00
1.479495386989491408e+02,3.284365036673365879e+00
1.360937269328046852e+02,3.198199747453366992e+00
1.261756180279474933e+02,3.118440497678412360e+00
1.252997109521342622e+02,3.110788853806279786e+00
1.151676636383284773e+02,3.021851118749206311e+00
1.048641471481821981e+02,2.930566480870472112e+00
9.757281750327616976e+01,2.853850657335787133e+00
9.617513607468939085e+01,2.838735588016061406e+00
8.765865678835611163e+01,2.744911842701182270e+00
7.941037800209943498e+01,2.649139850045416189e+00
7.873115879708889508e+01,2.560622941150501930e+00
7.822573984552630577e+01,2.098497549512069682e+00
7.958483147994377305e+01,1.482092170745161752e+00
8.582628228228122680e+01,1.383436995858200458e+00
