1.352038312970541938e+03,5.150619599608323718e+00
1.295506383854891965e+03,5.150619647417851610e+00
1.109057742257764403e+03,5.150619599608323718e+00
1.092745829156330728e+03,5.150016397094806742e+00
1.025158977590143422e+03,5.147510355885955846e+00
9.575721260239565709e+02,5.144992767834729364e+00
8.899852744577693784e+02,5.139882522178683466e+00
8.223984228915822996e+02,5.131924602450049555e+00
7.548115713253952208e+02,5.122409574027784629e+00
6.872247197592081420e+02,5.105468549140022461e+00
6.196378681930210632e+02,5.085229049645525023e+00
5.520510166268338708e+02,5.054790919952449002e+00
4.875904215669364135e+02,5.014801872404580863e+00
4.844641650606467920e+02,5.012515655064927245e+00
4.168773134944597132e+02,4.955712593329296922e+00
3.519421793880327414e+02,4.878984145200837119e+00
3.492904619282726344e+02,4.874710033136364196e+00
2.817036103620854419e+02,4.754525516563433918e+00
2.767591350855845462e+02,4.743166417997093376e+00
2.250345666293731881e+02,4.607348690793349633e+00
2.141167587958983916e+02,4.572335768889629115e+00
1.869354595044229086e+02,4.471530963589605889e+00
1.573227692846490982e+02,4.335713236385863034e+00
1.465299072297112843e+02,4.273390956281529540e+00
1.340395832588897633e+02,4.199895509182119291e+00
1.154849171562806163e+02,4.064077781978376436e+00
9.940841467934664877e+01,3.928260054774632692e+00
8.600844128699557700e+01,3.792442327570888949e+00
7.894305566352417713e+01,3.712833479387660063e+00
7.894305566352417713e+01,3.712833441423988301e+00
8.047865685958315396e+01,2.434265055533454625e+00
2.141167587958983916e+02,2.434265052919129868e+00
1.363093235421079044e+03,2.434265052701646059e+00
1.428515937847046644e+03,2.434265055533454625e+00
1.430680086987266122e+03,2.558012046071523216e+00
1.430680086987266122e+03,2.558069321810669372e+00
1.430670357738436223e+03,2.570082782737197924e+00
1.429828224566618474e+03,2.705900509940941667e+00
1.428133472150580474e+03,2.841718237144684966e+00
1.426052188897206179e+03,2.977535964348428266e+00
1.423458364094975423e+03,3.113353691552172009e+00
1.420470454232962311e+03,3.249171418755915308e+00
1.417143266830172024e+03,3.384989145959658607e+00
1.413624841559156266e+03,3.520806873163402351e+00
1.409810274900888999e+03,3.656624600367145650e+00
1.405718710583056236e+03,3.792442327570888949e+00
1.401372633874240137e+03,3.928260054774632692e+00
1.396831896659362428e+03,4.064077781978376436e+00
1.392037117616830756e+03,4.199895509182119291e+00
1.387002463837231744e+03,4.335713236385863034e+00
1.381732924605267044e+03,4.471530963589605889e+00
1.376234957669885034e+03,4.607348690793349633e+00
1.370514896658862881e+03,4.743166417997093376e+00
1.364577482885156542e+03,4.878984145200837119e+00
1.363093235421079044e+03,4.912199064168516927e+00
1.358423207686419801e+03,5.014801872404580863e+00
1.352895810763154486e+03,5.132507586971963853e+00
